state,year,State Code,Region,population,population ratio,population  region ratio,area,area density,land,land density,water,water density
Arkansas,2014,AR,South,2967392,0.009322597,0.024805984,137732,21.21485203,134771,20.75876937,2961,0.45608266
California,2014,CA,West,38596972,0.121259346,0.515135983,423967,88.02454436,403466,83.7681018,20501,4.256442563
Colorado,2014,CO,West,5350101,0.016808307,0.07140533,269601,18.72155148,268431,18.64030469,1170,0.081246788
Connecticut,2014,CT,Northeast,3594524,0.011292845,0.064181039,14357,249.2940029,12542,217.7784624,1816,31.53290446
Delaware,2014,DE,South,932487,0.002929576,0.007795147,6446,139.5583307,5047,109.2694532,1399,30.28887755
District of Columbia,2014,DC,South,662328,0.002080823,0.005536747,177,3419.355932,158,3052.306425,19,367.0495068
Florida,2014,FL,South,19845911,0.062349507,0.165902368,170312,110.6530192,138887,90.23595444,31424,20.41641502
Georgia,2014,GA,South,10067278,0.031628169,0.084157651,153910,63.10103957,148959,61.07119585,4951,2.02984372
Hawaii,2014,HI,West,1414538,0.004444026,0.018879186,28313,48.17444284,16635,28.30437808,11678,19.87006476
Idaho,2014,ID,West,1631112,0.005124432,0.0217697,216443,7.257088471,214045,7.176686249,2398,0.080402222
Illinois,2014,IL,Midwest,12884493,0.040478958,0.190190586,149995,85.60620687,143793,82.06655759,6202,3.539649289
Indiana,2014,IN,Midwest,6593644,0.020715121,0.097330102,94326,68.80851515,92789,67.68731116,1537,1.121203992
Iowa,2014,IA,Midwest,3109350,0.009768584,0.045897739,145746,20.93192952,144669,20.7772516,1077,0.15467792
Kansas,2014,KS,Midwest,2900475,0.009112365,0.042814493,213100,13.41243548,211754,13.32771873,1346,0.084716744
Kentucky,2014,KY,South,4414349,0.013868473,0.036901856,104656,41.5473647,102269,40.59975004,2387,0.947614657
Louisiana,2014,LA,South,4644013,0.014590004,0.038821738,135659,33.49967197,111898,27.63212389,23761,5.867548085
Maine,2014,ME,Northeast,1330513,0.004180046,0.023756611,91633,14.4885467,79883,12.63069611,11750,1.857850597
Mariana Islands,2014,,,,0,0,5117,0,472,0,4644,0
Maryland,2014,MD,South,5957283,0.018715879,0.04980005,32131,180.1576359,25142,140.9705046,6990,39.19273833
Massachusetts,2014,MA,Northeast,6762596,0.021245914,0.120747682,27336,240.207309,20202,177.5193173,7134,62.68799176
Michigan,2014,MI,Midwest,9929848,0.031196408,0.146576478,250487,39.43322408,146435,23.05270999,104052,16.38051409
Minnesota,2014,MN,Midwest,5451079,0.017125547,0.080464471,225163,23.58659282,206232,21.60350595,18930,1.982982116
Mississippi,2014,MS,South,2990468,0.009395094,0.024998889,125438,23.68140436,121531,22.94380294,3907,0.737601419
Missouri,2014,MO,Midwest,6056202,0.01902665,0.089396813,180540,33.21133267,178040,32.75144383,2501,0.460072798
Montana,2014,MT,West,1021869,0.003210386,0.013638414,380831,2.601408499,376962,2.574979848,3869,0.026428651
Nebraska,2014,NE,Midwest,1879321,0.005904226,0.027741034,200330,9.132641142,198974,9.070823834,1356,0.061817308
Nevada,2014,NV,West,2817628,0.008852086,0.037605581,286380,9.436430617,284332,9.368947518,2048,0.067483099
